timestamp	left_x	left_y	right_x	right_y	target_id	tar_x	tar_y
4069232.979	424.1798096	257.8764954	435.4859619	239.763855	-1	-1	-1
4069233.81	430.4086914	257.5010681	438.4501953	240.7565002	-1	-1	-1
4069234.645	434.9418945	255.6454163	442.5303955	241.4914246	-1	-1	-1
4069235.479	439.2124023	254.0387573	446.0217285	240.4025879	-1	-1	-1
4069236.31	446.2375488	253.2510681	450.079834	242.8692017	-1	-1	-1
4069237.145	450.0947266	255.6459961	454.678833	241.5342102	-1	-1	-1
4069237.979	455.1711426	252.1832886	455.4555664	243.8621216	-1	-1	-1
4069238.81	459.841919	253.71698	459.6967773	242.2899475	-1	-1	-1
4069239.645	461.9631348	253.226471	457.8515625	239.7205811	-1	-1	-1
4069240.479	463.5537109	252.3825989	463.7363281	243.7312317	-1	-1	-1
4069241.31	464.1843262	250.9924011	462.7871094	244.3424683	-1	-1	-1
4069242.144	466.6314697	255.7052918	462.5668945	243.0608215	-1	-1	-1
4069242.979	465.6854248	252.4482117	462.572876	246.785614	-1	-1	-1
4069243.81	464.6044922	254.7501831	462.3226318	246.6108093	-1	-1	-1
4069244.644	465.2591553	251.8475952	461.5048828	244.4034729	-1	-1	-1
4069245.479	462.9324951	254.6452637	461.6054688	245.0304871	-1	-1	-1
4069246.313	461.711792	252.0325012	462.4572754	249.7254334	-1	-1	-1
4069247.144	460.5098877	252.7836914	463.7626953	247.4727783	-1	-1	-1
4069247.979	459.0014648	252.5832825	458.34375	244.6493225	-1	-1	-1
4069248.813	456.598877	251.2013855	460.6171875	247.2898865	-1	-1	-1
4069249.644	455.3621826	254.0324097	459.8679199	245.5810242	-1	-1	-1
4069250.478	455.5462647	250.0443115	461.8425293	247.1708679	-1	-1	-1
4069251.313	454.2128906	250.5950012	462.3662109	244.5656433	-1	-1	-1
4069252.144	453.2677002	252.7548523	459.6583252	248.7096558	-1	-1	-1
4069252.978	452.9249268	250.3805237	459.5950928	242.84198	-1	-1	-1
4069253.813	452.8259277	252.3735657	459.7508545	245.0606995	-1	-1	-1
4069254.644	451.3295898	252.9832459	460.6782227	246.9324951	-1	-1	-1
4069255.478	452.3325195	252.2862244	460.3886719	245.5602417	-1	-1	-1
4069256.313	450.6873779	253.4955444	460.1213379	244.0241089	-1	-1	-1
4069257.144	454.6153565	249.1286011	460.1921387	244.9333496	-1	-1	-1
4069257.978	454.6778565	255.6085815	460.1958008	244.5508728	-1	-1	-1
4069258.813	451.9664307	254.2507019	460.03125	246.669342	-1	-1	-1
4069259.644	453.2203369	253.6138916	460.9460449	248.543457	-1	-1	-1
4069260.478	454.3139648	255.7261353	456.2879639	243.935669	-1	-1	-1
4069261.312	454.0777588	254.821228	458.3720703	244.5358887	-1	-1	-1
4069262.144	454.3657227	252.9754639	461.5383301	246.0916138	-1	-1	-1
4069262.978	454.7351074	253.164032	457.4949951	242.9646606	-1	-1	-1
4069263.812	453.1068115	254.7819519	458.7570801	245.3709412	-1	-1	-1
4069264.644	451.7850342	253.190918	459.817749	247.0553894	-1	-1	-1
4069265.478	454.1148682	251.3635559	459.6313477	246.1324768	-1	-1	-1
4069266.312	453.6290283	254.3599243	459.8411865	247.2714844	-1	-1	-1
4069267.144	454.0374756	252.4174194	459.2022705	244.24823	-1	-1	-1
4069267.978	452.4310303	253.5544128	457.1530762	246.0909729	-1	-1	-1
